﻿Id,ConceptName,Question,AnswerText
30,Solve division problems using multiplication and the multiplication table.,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>60</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>11</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span> = 56</p>,Wrong:<p>30 &times; 5&nbsp; =&nbsp;<span style=""text-decoration: underline;"">&nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>24 &divide; 3&nbsp; =&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>8</p>,Wrong:<p>72</p>,Wrong:<p>90</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>6 &times; 96 = 16</p>,Wrong:<p>16 &divide; 96 = 6</p>,Wrong:<p>96 &divide; 16 = 16</p>,Wrong:<p><span style=""text-decoration: underline;"">&nbsp;?&nbsp;</span> &times; 7 = 54</p>,Wrong:<p>63 &divide;<span style=""text-decoration: underline;""> ?&nbsp;</span> = 9</p>,Wrong:<p>48 &times; 6 =<span style=""text-decoration: underline;"">&nbsp; ?&nbsp;</span> &nbsp;</p>,Wrong:<p>100</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
31,Solve division problems using multiplication and the multiplication table.,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
32,Using the commutative property to find products.,<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>,"Right:<p>4, 9</p>,Wrong:<p>Associative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>(12 &times; 43) &times; 48 = 12 &times; (43 &times; 48)</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>762 = 56 &times; 12</p>,Wrong:<p>321 + 511</p>,Wrong:<p>21 &times; 511</p>,Wrong:<p>321 &times; 51</p>,Wrong:<p>2,000</p>,Wrong:<p>321</p>,Wrong:<p>326</p>,Wrong:<p>5</p>,Wrong:<p>495</p>,Wrong:<p>1,000</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
33,Using the associative property to find products.,<p>Which equation shows the associative property of multiplication?</p>,"Right:<p>4, 9</p>,Wrong:<p>214 &times; 9 = 9 &times; 214</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>899</p>,Wrong:<p>5</p>,Wrong:<p>100</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>7 &times; 6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>6 &times; 8</p>,Wrong:<p>5 &times; 14</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
34,Using the distributive property to find products.,<p>21 &times; (5 + 8) =</p>,"Right:<p>(8 &times; 6) + (8 &times; 9)</p>,Wrong:<p>21 &times; 5 &times; 21 &times; 8</p>,Wrong:<p>21 &times; 5 + 8</p>,Wrong:<p>21 &times; 5 &times; 8</p>,Wrong:<p>7</p>,Wrong:<p>8</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>4</p>,Wrong:<p>5</p>,Wrong:<p>6 + 5</p>,Wrong:<p>6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>15 &times; 4 &times; 4</p>,Wrong:<p>(8 + 6) &times; (8 + 9)</p>,Wrong:<p>15 &times; 2 &times; 6</p>"
35,Find the unknown factor in division problems using the multiplication table.,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>108 &divide; 12 = 9</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &divide; 45</p>,Wrong:<p>5 &divide; 45</p>,Wrong:<p>45 &divide; 9</p>,Wrong:<p>24 &divide; 384 = 16</p>,Wrong:<p>16 &divide; 24 = 384</p>,Wrong:<p>384 &divide; 24 = 24</p>,Wrong:<p>12 &divide; 9 = 108</p>,Wrong:<p>108 &divide; 9 = 9</p>,Wrong:<p>108 &divide; 12 = 21</p>"
36,Associativity and multiplication problems.,<p>(2 &times; 9) &times; 3 =&nbsp;</p>,"Right:<p>8 &times; 8</p>,Wrong:<p>2 &times; 12</p>,Wrong:<p>18 &times; 9</p>,Wrong:<p>11 &times; 3</p>,Wrong:<p>8 &times; 6</p>,Wrong:<p>10 &times; 4</p>,Wrong:<p>16 &times; 2</p>"
37,Multiplication table and the distributive property.,<p>13 &times; 8 =</p>,"Right:<p>(5 + 9) &times; 5</p>,Wrong:<p>(8 + 3) &times; (8 + 3)</p>,Wrong:<p>(8 &times; 4) + 8</p>,Wrong:<p>(8 + 4) &times; 8</p>,Wrong:<p>(1 + 3) &times; (4 + 3)</p>,Wrong:<p>(1 &times; 4) + 5</p>,Wrong:<p>(9 + 4) &times; 5</p>"
38,Division and properties of operations.,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>12</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>12</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>2</p>,Wrong:<p>14</p>,Wrong:<p>16</p>"
39,Division and properties of operations.,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
40,Solve multi-step word problem using rounding.,"<p>Today the school cafeteria needs 112 bottles of water. They already have 64 bottles of water from yesterday. If the bottles come in packages of 6, what is the total number of packages of water the cafeteria will need to buy for today?</p>","Right:<p>9</p>,Wrong:<p>10</p>,Wrong:<p>48</p>,Wrong:<p>6</p>,Wrong:<p>63</p>,Wrong:<p>7</p>,Wrong:<p>13</p>"
41,Solve multistep word problems.,<p>A farm produced 235 eggs today. If they shipped 144 eggs and 18 eggs were damaged. How many eggs are left?</p>,"Right:<p>$26</p>,Wrong:<p>91</p>,Wrong:<p>397</p>,Wrong:<p>217</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
42,Identify even and odd numbers.,<p>Which of the following numbers is an even number?</p>,"Right:<p>1</p>,Wrong:<p>3</p>,Wrong:<p>5</p>,Wrong:<p>9</p>,Wrong:<p>3, 1, 7, 9</p>,Wrong:<p>3, 2, 4, 1</p>,Wrong:<p>2, 6, 8, 5</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>8</p>"
43,Adding odd and even numbers.,<p>The result of &ldquo;3 + 9&rdquo; is an:</p>,"Right:<p>9 + 6</p>,Wrong:<p>Odd number</p>,Wrong:<p>3 + 4</p>,Wrong:<p>6 + 5</p>,Wrong:<p>9 + 8</p>,Wrong:<p>9 + 5</p>,Wrong:<p>1 + 5</p>,Wrong:<p>2 + 6</p>"
44,Multiplying by even numbers.,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
45,Multiplying by even numbers.,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
46,Multiplying by even numbers.,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
47,Patterns in the multiplication table and the number 5.,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
48,Patterns in the multiplication table and the number 5.,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
49,Patterns in the multiplication table and the number 5.,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
50,Understand the place value chart.,"<p>The value of the&nbsp;digit 5 in the number 6,354 is:</p>","Right:<p>Ones place</p>,Wrong:<p>10</p>,Wrong:<p>5</p>,Wrong:<p>500</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>1,000</p>,Wrong:<p>3,000</p>,Wrong:<p>30</p>,Wrong:<p>3</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>,Wrong:<p>100</p>,Wrong:<p>6,000</p>,Wrong:<p>60</p>,Wrong:<p>6</p>,Wrong:<p>Ones place</p>,Wrong:<p>Tens place</p>,Wrong:<p>Thousands place</p>,Wrong:<p>4 &times; 1,000</p>,Wrong:<p>4 &divide; 10</p>,Wrong:<p>4 &divide; 1,000</p>,Wrong:<p>Tens place</p>,Wrong:<p>Hundreds place</p>,Wrong:<p>Thousands place</p>"
51,Understand the place value chart.,"<p>The value of the&nbsp;digit 7 in the number 1,972 is:</p>","Right:<p>400</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>700</p>,Wrong:<p>4,000</p>,Wrong:<p>40</p>,Wrong:<p>4</p>"
52,Understand the place value chart.,"<p>The value of the&nbsp;digit 4 in the number 8,640 is:</p>","Right:<p>700</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>400</p>,Wrong:<p>7,000</p>,Wrong:<p>70</p>,Wrong:<p>7</p>"
53,Understand the place value chart.,"<p>The value of the&nbsp;digit 6 in the number 5,062 is:</p>","Right:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>6</p>,Wrong:<p>600</p>,Wrong:<p>1,000</p>,Wrong:<p>10</p>,Wrong:<p>1</p>"
54,Understand the place value chart.,"<p>The value of the&nbsp;digit 2 in the number 8,921 is:</p>","Right:<p>900</p>,Wrong:<p>10</p>,Wrong:<p>2</p>,Wrong:<p>200</p>,Wrong:<p>9,000</p>,Wrong:<p>90</p>,Wrong:<p>9</p>"
55,Rounding numbers to the nearest 10.,<p>13 rounded to the nearest ten is:</p>,"Right:<p>20</p>,Wrong:<p>0</p>,Wrong:<p>20</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>15</p>,Wrong:<p>5</p>"
56,Rounding numbers to the nearest 10.,<p>28 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>10</p>,Wrong:<p>200</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>20</p>"
57,Rounding numbers to the nearest 10.,<p>19 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>10</p>,Wrong:<p>90</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>50</p>,Wrong:<p>55</p>"
58,Rounding numbers to the nearest 10.,<p>87 rounded to the nearest ten is:</p>,"Right:<p>90</p>,Wrong:<p>100</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>10</p>,Wrong:<p>80</p>,Wrong:<p>85</p>"
59,Rounding numbers to the nearest 10.,<p>58 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>55</p>"
60,Rounding numbers to the nearest 10.,<p>25 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>25</p>,Wrong:<p>35</p>"
61,Rounding numbers to the nearest 10.,<p>55 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>65</p>,Wrong:<p>45</p>"
