﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿﻿﻿﻿﻿﻿﻿Id",Lesson,Question,AnswerText
37,The Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>7 &times; 4 = 28</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>,Wrong:<p>9 &times; 8 = 72</p>,Wrong:<p>5 &times; 60 = 300</p>,Wrong:<p>9 &times; 5 = 45</p>,Wrong:<p>9 &times; 8 = 73</p>,Wrong:<p>80 &times; 6 = 560</p>,Wrong:<p>9 &times; 7 = 62</p>"
38,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>7 &times; 6 = 42</p>,Wrong:<p>6 &times; 8 = 48</p>,Wrong:<p>4 &times; 20 = 80</p>,Wrong:<p>3 &times; 8 = 24</p>,Wrong:<p>7 &times; 8 = 65</p>,Wrong:<p>20 &times; 7 = 150</p>,Wrong:<p>5 &times; 6 = 35</p>"
39,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>8 &times; 6 = 48</p>,Wrong:<p>11 &times; 4 = 44</p>,Wrong:<p>5 &times; 70 = 350</p>,Wrong:<p>7 &times; 2 = 14</p>,Wrong:<p>4 &times; 7 = 27</p>,Wrong:<p>30 &times; 4 = 130</p>,Wrong:<p>9 &times; 6 = 45</p>"
40,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>3 &times; 3 = 6</p>,Wrong:<p>20 &times; 5 = 100</p>,Wrong:<p>5 &times; 8 = 40</p>,Wrong:<p>4 &times; 9 = 36</p>"
41,Finding the Product Using the Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>6 &times; 5</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>"
42,Finding the Unknown Factor Using the Multiplication Table,"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>""<p>8 &times; (___ &times; ___) = 28 &times; 8</p>","Right:<p>4, 9</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>7</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
43,Finding the Unknown Factor in Division Problems,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>60</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>11</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span> = 56</p>,Wrong:<p>30 &times; 5&nbsp; =&nbsp;<span style=""text-decoration: underline;"">&nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>24 &divide; 3&nbsp; =&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>8</p>,Wrong:<p>72</p>,Wrong:<p>90</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>6 &times; 96 = 16</p>,Wrong:<p>16 &divide; 96 = 6</p>,Wrong:<p>96 &divide; 16 = 16</p>,Wrong:<p><span style=""text-decoration: underline;"">&nbsp;?&nbsp;</span> &times; 7 = 54</p>,Wrong:<p>63 &divide;<span style=""text-decoration: underline;""> ?&nbsp;</span> = 9</p>,Wrong:<p>48 &times; 6 =<span style=""text-decoration: underline;"">&nbsp; ?&nbsp;</span> &nbsp;</p>,Wrong:<p>100</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
44,Finding the Unknown Factor in Division Problems,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
45,The Commutative Property of Multiplication,<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>,"Right:<p>4, 9</p>,Wrong:<p>Associative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>(12 &times; 43) &times; 48 = 12 &times; (43 &times; 48)</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>762 = 56 &times; 12</p>,Wrong:<p>321 + 511</p>,Wrong:<p>21 &times; 511</p>,Wrong:<p>321 &times; 51</p>,Wrong:<p>2,000</p>,Wrong:<p>321</p>,Wrong:<p>326</p>,Wrong:<p>5</p>,Wrong:<p>495</p>,Wrong:<p>1,000</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
46,The Associative Property of Multiplication,<p>Which equation shows the associative property of multiplication?</p>,"Right:<p>4, 9</p>,Wrong:<p>214 &times; 9 = 9 &times; 214</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>899</p>,Wrong:<p>5</p>,Wrong:<p>100</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>7 &times; 6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>6 &times; 8</p>,Wrong:<p>5 &times; 14</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
47,The Distributive Property of Multiplication,<p>21 &times; (5 + 8) =</p>,"Right:<p>(8 &times; 6) + (8 &times; 9)</p>,Wrong:<p>21 &times; 5 &times; 21 &times; 8</p>,Wrong:<p>21 &times; 5 + 8</p>,Wrong:<p>21 &times; 5 &times; 8</p>,Wrong:<p>7</p>,Wrong:<p>8</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>4</p>,Wrong:<p>5</p>,Wrong:<p>6 + 5</p>,Wrong:<p>6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>15 &times; 4 &times; 4</p>,Wrong:<p>(8 + 6) &times; (8 + 9)</p>,Wrong:<p>15 &times; 2 &times; 6</p>"
48,Finding the Unknown Factor Using the Multiplication Table,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>108 &divide; 12 = 9</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &divide; 45</p>,Wrong:<p>5 &divide; 45</p>,Wrong:<p>45 &divide; 9</p>,Wrong:<p>24 &divide; 384 = 16</p>,Wrong:<p>16 &divide; 24 = 384</p>,Wrong:<p>384 &divide; 24 = 24</p>,Wrong:<p>12 &divide; 9 = 108</p>,Wrong:<p>108 &divide; 9 = 9</p>,Wrong:<p>108 &divide; 12 = 21</p>"
49,Associativity and Multiplication Problems,<p>(2 &times; 9) &times; 3 =&nbsp;</p>,"Right:<p>8 &times; 8</p>,Wrong:<p>2 &times; 12</p>,Wrong:<p>18 &times; 9</p>,Wrong:<p>11 &times; 3</p>,Wrong:<p>8 &times; 6</p>,Wrong:<p>10 &times; 4</p>,Wrong:<p>16 &times; 2</p>"
50,Multiplication Table and the Distributive Property,<p>13 &times; 8 =</p>,"Right:<p>(5 + 9) &times; 5</p>,Wrong:<p>(8 + 3) &times; (8 + 3)</p>,Wrong:<p>(8 &times; 4) + 8</p>,Wrong:<p>(8 + 4) &times; 8</p>,Wrong:<p>(1 + 3) &times; (4 + 3)</p>,Wrong:<p>(1 &times; 4) + 5</p>,Wrong:<p>(9 + 4) &times; 5</p>"
51,Division Using Properties of Operations,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>12</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>12</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>2</p>,Wrong:<p>14</p>,Wrong:<p>16</p>"
52,Division Using Properties of Operations,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
53,Solving Multi-Step Word Problems Using Rounding,"<p>Today the school cafeteria needs 112 bottles of water. They already have 64 bottles of water from yesterday. If the bottles come in packages of 6, what is the total number of packages of water the cafeteria will need to buy for today?</p>","Right:<p>9</p>,Wrong:<p>10</p>,Wrong:<p>48</p>,Wrong:<p>6</p>,Wrong:<p>63</p>,Wrong:<p>7</p>,Wrong:<p>13</p>"
54,Solving Multi-Step Word Problems Using Rounding,<p>A farm produced 235 eggs today. If they shipped 144 eggs and 18 eggs were damaged. How many eggs are left?</p>,"Right:<p>$26</p>,Wrong:<p>91</p>,Wrong:<p>397</p>,Wrong:<p>217</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
55,Even and Odd Numbers,<p>Which of the following numbers is an even number?</p>,"Right:<p>1</p>,Wrong:<p>3</p>,Wrong:<p>5</p>,Wrong:<p>9</p>,Wrong:<p>3, 1, 7, 9</p>,Wrong:<p>3, 2, 4, 1</p>,Wrong:<p>2, 6, 8, 5</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>8</p>"
56,Adding Odd and Even Numbers,<p>The result of &ldquo;3 + 9&rdquo; is an:</p>,"Right:<p>9 + 6</p>,Wrong:<p>Odd number</p>,Wrong:<p>3 + 4</p>,Wrong:<p>6 + 5</p>,Wrong:<p>9 + 8</p>,Wrong:<p>9 + 5</p>,Wrong:<p>1 + 5</p>,Wrong:<p>2 + 6</p>"
57,Multiplying by Even Numbers,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
58,Multiplying by Even Numbers,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
59,Multiplying by Even Numbers,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
60,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
61,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
62,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
63,Place Value Chart,"<p>The value of the&nbsp;digit 5 in the number 6,354 is:</p>","Right:<p>Ones place</p>,Wrong:<p>10</p>,Wrong:<p>5</p>,Wrong:<p>500</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>1,000</p>,Wrong:<p>3,000</p>,Wrong:<p>30</p>,Wrong:<p>3</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>,Wrong:<p>100</p>,Wrong:<p>6,000</p>,Wrong:<p>60</p>,Wrong:<p>6</p>,Wrong:<p>Ones place</p>,Wrong:<p>Tens place</p>,Wrong:<p>Thousands place</p>,Wrong:<p>4 &times; 1,000</p>,Wrong:<p>4 &divide; 10</p>,Wrong:<p>4 &divide; 1,000</p>,Wrong:<p>Tens place</p>,Wrong:<p>Hundreds place</p>,Wrong:<p>Thousands place</p>"
64,Place Value Chart,"<p>The value of the&nbsp;digit 7 in the number 1,972 is:</p>","Right:<p>400</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>700</p>,Wrong:<p>4,000</p>,Wrong:<p>40</p>,Wrong:<p>4</p>"
65,Patterns in the Multiplication Table for the Number 5,<p>What is the pattern in the ones place of the products when multiplying by 5?</p>,"Right:<p>The ones place alternates between 0 and 5</p>,Wrong:<p>The ones place is always 0</p>,Wrong:<p>The ones place is always 5</p>,Wrong:<p>The ones place increases by 5 each time</p>,Wrong:<p>There is no pattern</p>"
66,Adding 10 to the Multiplication Table,<p>What is 10 &times; 7?</p>,"Right:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>77</p>,Wrong:<p>17</p>,Wrong:<p>67</p>"
67,Adding 10 to the Multiplication Table,<p>Which of the following is equal to 10 &times; 9?</p>,"Right:<p>90</p>,Wrong:<p>9 &times; 10</p>,Wrong:<p>10 + 9</p>,Wrong:<p>19</p>,Wrong:<p>99</p>"
68,Adding 10 to the Multiplication Table,"<p>If 10 &times; 6 = 60, what is 10 &times; 7?</p>","Right:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>67</p>,Wrong:<p>76</p>,Wrong:<p>61</p>"
69,Adding 10 to the Multiplication Table,<p>What pattern do you notice when multiplying by 10?</p>,"Right:<p>The product always ends with 0</p>,Wrong:<p>The product is always a two-digit number</p>,Wrong:<p>The product is always an even number</p>,Wrong:<p>The product is always greater than 100</p>,Wrong:<p>There is no pattern</p>"
70,Finding the Product Using the Multiplication Table,<p>What is 6 &times; 8?</p>,"Right:<p>48</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>46</p>,Wrong:<p>56</p>"
71,Finding the Product Using the Multiplication Table,<p>Which of the following is equal to 7 &times; 9?</p>,"Right:<p>63</p>,Wrong:<p>56</p>,Wrong:<p>72</p>,Wrong:<p>81</p>,Wrong:<p>54</p>"
72,Finding the Product Using the Multiplication Table,"<p>If 5 &times; 6 = 30, what is 5 &times; 7?</p>","Right:<p>35</p>,Wrong:<p>30</p>,Wrong:<p>40</p>,Wrong:<p>42</p>,Wrong:<p>25</p>"
73,Finding the Product Using the Multiplication Table,<p>What is the product of 4 and 6?</p>,"Right:<p>24</p>,Wrong:<p>18</p>,Wrong:<p>22</p>,Wrong:<p>28</p>,Wrong:<p>20</p>"
74,Associativity and Multiplication Problems,<p>Which of the following equations demonstrates the associative property of multiplication?</p>,"Right:<p>(2 &times; 3) &times; 4 = 2 &times; (3 &times; 4)</p>,Wrong:<p>2 &times; 3 = 3 &times; 2</p>,Wrong:<p>2 &times; (3 + 4) = (2 &times; 3) + (2 &times; 4)</p>,Wrong:<p>2 + (3 &times; 4) = (2 + 3) &times; 4</p>,Wrong:<p>2 &times; 3 &times; 4 = 4 &times; 3 &times; 2</p>"
75,Associativity and Multiplication Problems,"<p>If (5 &times; 2) &times; 3 = 30, what is 5 &times; (2 &times; 3)?</p>","Right:<p>30</p>,Wrong:<p>25</p>,Wrong:<p>35</p>,Wrong:<p>40</p>,Wrong:<p>15</p>"
76,Associativity and Multiplication Problems,<p>Which property of multiplication allows us to solve 2 &times; (4 &times; 5) as (2 &times; 4) &times; 5?</p>,"Right:<p>Associative property</p>,Wrong:<p>Commutative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>Identity property</p>,Wrong:<p>Zero property</p>"
77,Associativity and Multiplication Problems,"<p>Emma is solving the problem (3 &times; 4) &times; 5. She decides to solve 3 &times; (4 &times; 5) instead. Is this allowed? If so, which property is she using?</p>","Right:<p>Yes, she is using the associative property of multiplication</p>,Wrong:<p>No, this is not allowed</p>,Wrong:<p>Yes, she is using the commutative property of multiplication</p>,Wrong:<p>Yes, she is using the distributive property of multiplication</p>,Wrong:<p>Yes, she is using the identity property of multiplication</p>"
78,Finding the Unknown Factor Using the Multiplication Table,"<p>If 7 &times; ? = 56, what is the unknown factor?</p>","Right:<p>8</p>,Wrong:<p>7</p>,Wrong:<p>9</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
79,Finding the Unknown Factor Using the Multiplication Table,"<p>In the equation ? &times; 6 = 42, what number replaces the question mark?</p>","Right:<p>7</p>,Wrong:<p>6</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>5</p>"
80,Finding the Unknown Factor Using the Multiplication Table,<p>What number goes in the box to make this equation true? 9 &times; &#9633; = 63</p>,"Right:<p>7</p>,Wrong:<p>6</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>10</p>"
81,Finding the Unknown Factor Using the Multiplication Table,"<p>If 8 &times; 5 = 40, then 8 &times; ? = 80. What number replaces the question mark?</p>","Right:<p>10</p>,Wrong:<p>8</p>,Wrong:<p>12</p>,Wrong:<p>15</p>,Wrong:<p>16</p>"
82,Finding the Unknown Factor in Division Problems,"<p>In the equation 72 &divide; ? = 9, what is the value of the unknown factor?</p>","Right:<p>8</p>,Wrong:<p>7</p>,Wrong:<p>9</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
83,Finding the Unknown Factor in Division Problems,"<p>If ? &divide; 6 = 7, what number replaces the question mark?</p>","Right:<p>42</p>,Wrong:<p>36</p>,Wrong:<p>48</p>,Wrong:<p>54</p>,Wrong:<p>30</p>"
84,Finding the Unknown Factor in Division Problems,<p>What number goes in the box to make this equation true? 63 &divide; &#9633; = 7</p>,"Right:<p>9</p>,Wrong:<p>7</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>6</p>"
85,Finding the Unknown Factor in Division Problems,"<p>If 48 &divide; 8 = 6, then 96 &divide; ? = 6. What number replaces the question mark?</p>","Right:<p>16</p>,Wrong:<p>12</p>,Wrong:<p>14</p>,Wrong:<p>18</p>,Wrong:<p>20</p>"
86,The Commutative Property of Multiplication,"<p>Which of the following equations demonstrates the commutative property of multiplication?</p>","Right:<p>4 × 7 = 7 × 4</p>,Wrong:<p>4 + 7 = 7 + 4</p>,Wrong:<p>4 × (7 × 2) = (4 × 7) × 2</p>,Wrong:<p>4 × (7 + 2) = (4 × 7) + (4 × 2)</p>,Wrong:<p>4 × 7 = 28</p>"
87,The Commutative Property of Multiplication,"<p>If 6 × 8 = 48, what does 8 × 6 equal?</p>","Right:<p>48</p>,Wrong:<p>46</p>,Wrong:<p>50</p>,Wrong:<p>54</p>,Wrong:<p>It cannot be determined</p>"
88,The Commutative Property of Multiplication,"<p>Which property of multiplication allows us to say that 3 × 12 is the same as 12 × 3?</p>","Right:<p>Commutative property</p>,Wrong:<p>Associative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>Identity property</p>,Wrong:<p>Zero property</p>"
89,The Commutative Property of Multiplication,"<p>True or False: The commutative property of multiplication states that changing the order of factors does not change the product.</p>","Right:<p>True</p>,Wrong:<p>False</p>,Wrong:<p>It depends on the numbers</p>,Wrong:<p>Only true for even numbers</p>,Wrong:<p>Only true for odd numbers</p>"
